id	law_group	law_id	law	article	law_version	category	difficulty	q_zh	a_zh	b_zh	c_zh	d_zh	q_en	a_en	b_en	c_en	d_en	answer	explain_zh	explain_en	status	batch	reviewer	review_note
OSH-0001	OSH	OSH-01	職業安全衛生法	第1條	民國114年12月19日	總則	1	《職業安全衛生法》的立法目的為何？	管理環境污染排放，維護居民生活品質	規範勞資雙方工資給付及工時之標準	提高事業單位生產效率並增進營運績效	防止職業災害，保障工作者安全及健康	What is the legislative purpose of the Occupational Safety and Health Act?	To control environmental pollutant discharge and protect residents' living quality	To regulate wage payment and working-hour standards between employers and workers	To improve enterprise productivity and enhance overall operating performance	To prevent occupational accidents and protect workers' safety and health	d	第1條：為防止職業災害，保障工作者安全及健康，特制定本法。	Article 1: The Act is enacted to prevent occupational accidents and protect the safety and health of workers.	draft	1		
OSH-0002	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	1	依本法第2條，「工作者」不包括下列何者？	受指揮監督從事勞動者	自營作業之工作者	受僱從事工作之勞工	單純到場參觀之訪客	Under Article 2, which of the following is NOT a 'worker'?	A person working under supervision	A self-employed person doing work	A laborer employed to perform work	A visitor merely touring the site	d	第2條第1款：工作者指勞工、自營作業者及其他受工作場所負責人指揮或監督從事勞動之人員。訪客未從事勞動，不屬工作者。	Article 2(1): 'worker' means laborers, self-employed persons and other persons performing labor under the direction or supervision of the workplace manager. A visitor performs no labor.	draft	1		
OSH-0003	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	1	本法所稱「勞工」，指下列何者？	工作場所之出租人	受僱從事工作獲致工資者	事業之經營負責人	獨立作業之技藝工作者	Under the Act, a 'laborer' means:	The lessor of the workplace	A person employed to work and receiving wages	The person in charge of operating the business	An independent craftsperson	b	第2條第2款：勞工指受僱從事工作獲致工資者。	Article 2(2): 'laborer' means a person who is employed to work and receives wages.	draft	1		
OSH-0004	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	1	本法所稱「雇主」，指下列何者？	勞動檢查機構之檢查員	工會之理事長或常務理事	事業主或事業之經營負責人	事業單位之職業安全衛生管理員	Under the Act, 'employer' means:	An inspector employed by the labor inspection agency	The chairperson or a standing director of the labor union	The business owner or the person in charge of operating the business	The occupational safety and health administrator of the enterprise	c	第2條第3款：雇主指事業主或事業之經營負責人。	Article 2(3): 'employer' means the business owner or the person in charge of operating the business.	draft	1		
OSH-0005	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	2	本法所稱「職業災害」，其結果包含下列何者？	疾病、死亡或精神壓力	疾病、傷害或財產損失	疾病、傷害、失能或死亡	傷害、失能或設備損壞	Under the Act, the consequences covered by an 'occupational accident' include:	Disease, death or mental stress	Disease, injury or property damage	Disease, injury, disability or death	Injury, disability or equipment damage	c	第2條第5款：職業災害指因勞動場所之建築物、機械、設備、原料、材料、化學品等或作業活動及其他職業上原因引起之工作者疾病、傷害、失能或死亡。	Article 2(5): an occupational accident means a worker's disease, injury, disability or death caused by buildings, machinery, equipment, materials, chemicals, work activities or other occupational causes at the labor site.	draft	1		
OSH-0006	OSH	OSH-01	職業安全衛生法	第2條	民國114年12月19日	總則	3	本法所稱「作業場所」，指下列何者？	工作場所中，從事特定工作目的之場所	勞動契約存續中由雇主提示使勞工提供勞務之場所	接受雇主指示處理勞工事務之人所能支配管理之場所	自營作業者實際從事勞動之場所	Under the Act, an 'operation site' means:	A place within the workplace used for a specific work purpose	A place designated by the employer during the labor contract for the laborer to provide services	A place that can be controlled and managed by the person handling labor affairs under the employer's instruction	A place where a self-employed person actually performs labor	a	第2條第8款：作業場所指工作場所中，從事特定工作目的之場所。「雇主提示使勞工提供勞務之場所」為勞動場所；「處理勞工事務之人所能支配管理之場所」為工作場所。	Article 2(8): an operation site is a place within the workplace used for a specific work purpose. The place designated by the employer for providing services is the labor site; the place controlled by the person handling labor affairs is the workplace.	draft	1		
OSH-0007	OSH	OSH-01	職業安全衛生法	第3條	民國114年12月19日	總則	1	本法所稱中央主管機關為何？	衛生福利部	經濟部	內政部	勞動部	Which is the central competent authority under the Act?	Ministry of Health and Welfare	Ministry of Economic Affairs	Ministry of the Interior	Ministry of Labor	d	第3條第1項：本法所稱主管機關，在中央為勞動部；在直轄市為直轄市政府；在縣（市）為縣（市）政府。	Article 3(1): the central competent authority is the Ministry of Labor; at the municipal level it is the municipal government; at the county (city) level it is the county (city) government.	draft	1		
OSH-0008	OSH	OSH-01	職業安全衛生法	第4條	民國114年12月19日	總則	1	本法的適用範圍為何？	僅適用於僱用勞工人數在三十人以上之事業單位	僅適用於製造業及營造業，其他各業均不適用	僅適用於中央主管機關公告指定之特定高風險行業	適用於各業，但中央主管機關得指定公告部分規定之適用	What is the scope of application of the Act?	Only enterprises employing thirty or more laborers, regardless of the industry concerned	Manufacturing and construction industries only, with all other industries entirely excluded	Only specific high-risk industries designated and publicly announced by the central competent authority	All industries, though the central competent authority may designate partial application by public notice	d	第4條：本法適用於各業。但因事業規模、性質及風險等因素，中央主管機關得指定公告其適用本法之部分規定。	Article 4: the Act applies to all industries; based on scale, nature and risk, the central competent authority may designate and announce partial application of the Act.	draft	1		
OSH-0009	OSH	OSH-01	職業安全衛生法	第5條	民國114年12月19日	總則	2	本法第5條規定，雇主使勞工從事工作，應在何種範圍內採取必要之預防設備或措施？	合理可行範圍內	主管機關檢查時之範圍內	不計成本之最高標準	勞工要求之範圍內	Under Article 5, an employer shall take necessary preventive equipment or measures within what scope?	A reasonably practicable scope	The scope examined by the competent authority during inspection	The highest standard regardless of cost	The scope requested by the laborers	a	第5條第1項：雇主使勞工從事工作，應在合理可行範圍內，採取必要之預防設備或措施，使勞工免於發生職業災害。	Article 5(1): the employer shall, within a reasonably practicable scope, take necessary preventive equipment or measures so that laborers are free from occupational accidents.	draft	1		
OSH-0010	OSH	OSH-01	職業安全衛生法	第5條	民國114年12月19日	總則	2	依本法第5條第2項，機械、設備、原料等物件之設計、製造或輸入者及工程之設計或施工者，應於何階段實施風險評估？	發生職業災害並經檢查後之改善階段	產品出廠滿三年之定期複檢階段	設計、製造、輸入或施工規劃階段	勞動檢查機構實施檢查前之準備階段	Under Article 5(2), designers, manufacturers or importers of machinery, equipment and materials, and designers or contractors of construction works, shall conduct risk assessment at which stage?	At the improvement stage after an occupational accident has occurred	At the periodic re-inspection stage three years after shipment	At the design, manufacturing, import or construction planning stage	At the preparation stage before the labor inspection agency inspects	c	第5條第2項：物件之設計、製造或輸入者及工程之設計或施工者，應於設計、製造、輸入或施工規劃階段實施風險評估，致力防止發生職業災害。	Article 5(2): risk assessment shall be conducted at the design, manufacturing, import or construction planning stage to prevent occupational accidents during use or construction.	draft	1		
OSH-0011	OSH	OSH-01	職業安全衛生法	第6條	民國114年12月19日	安全衛生設施	2	下列何者屬本法第6條第2項雇主應妥為規劃及採取必要安全衛生措施之事項？	輪班、夜間工作、長時間工作等異常工作負荷促發疾病之預防	防止高壓氣體及爆炸性物質引起危害之必要設備及措施	防止水患、風災、火災或地震引起危害之設備及措施	防止採石、採掘及沉箱作業引起危害之設備及措施	Which of the following falls under Article 6(2), matters the employer shall properly plan and take necessary safety and health measures for?	Preventing diseases induced by abnormal workloads such as shift work, night work and long working hours	Preventing hazards arising from high-pressure gas and explosive substances at the operation site	Preventing hazards caused by floods, windstorms, fires or earthquakes at the operation site	Preventing hazards arising from quarrying, excavation and pneumatic caisson operations	a	第6條第2項四款：重複性作業促發肌肉骨骼疾病之預防、異常工作負荷促發疾病之預防、執行職務遭受不法侵害之預防、避難急救休息等事項。其餘選項屬第6條第1項。	Article 6(2) lists four items: musculoskeletal disorders from repetitive work, diseases induced by abnormal workloads, unlawful physical or mental harm by others, and evacuation/first aid/rest. The other options fall under Article 6(1).	draft	1		
OSH-0012	OSH	OSH-01	職業安全衛生法	第6條	民國114年12月19日	安全衛生設施	2	本法第6條第2項第3款要求雇主對「執行職務因他人行為遭受身體或精神不法侵害之預防」，除採取措施外尚應建立何種程序？	罷工、協商及調解程序	申訴、調查及處理程序	投保、理賠及給付程序	懲戒、解僱及申覆程序	Under Article 6(2)(3), for preventing physical or mental unlawful harm by others during the performance of duties, the employer shall also establish what procedures?	Strike, negotiation and mediation procedures	Complaint, investigation and handling procedures	Insurance, claim and benefit payment procedures	Discipline, dismissal and appeal procedures	b	第6條第2項第3款：執行職務因他人行為遭受身體或精神不法侵害之預防，並建立申訴、調查及處理程序。	Article 6(2)(3): prevention of unlawful physical or mental harm by others while performing duties, and establishment of complaint, investigation and handling procedures.	draft	1		
OSH-0013	OSH	OSH-01	職業安全衛生法	第6條	民國114年12月19日	安全衛生設施	1	本法第6條第1項第5款要求雇主應有必要之安全衛生設備及措施，以防止何種作業場所引起之危害？	設有空調及照明設備之辦公室文書作業場所	供勞工用餐及休憩使用之員工餐廳場所	有墜落、物體飛落或崩塌等之虞之作業場所	供訪客及員工停放車輛之地面停車場所	Article 6(1)(5) requires the employer to have necessary safety and health equipment and measures to prevent hazards from what type of operation site?	Office clerical work areas equipped with air conditioning and lighting	Staff cafeterias used by laborers for meals and rest periods	Operation sites with risk of falls, falling objects or collapse	Ground-level parking lots used by employees and visitors	c	第6條第1項第5款：防止有墜落、物體飛落或崩塌等之虞之作業場所引起之危害。	Article 6(1)(5): to prevent hazards from operation sites where there is a risk of falls, falling objects or collapse.	draft	1		
