level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch12_a2	26	ENV-102	公私場所固定污染源空氣污染物排放量申報管理辦法	第8條	6	下列何者非屬地方主管機關應優先查核申報內容之情形？	同一固定污染源之操作許可證有效期間即將於六個月內屆滿而尚未申請展延者
A	batch12_a3	14	ENV-105	公私場所固定污染源燃料混燒比例成分及防制設施管制標準	第5條	100	固定污染源以混燒方式使用固態生質燃料、固體再生燃料或廢棄物再利用燃料時，其混燒比	以單位時間該燃料重量除以單位時間燃料總重量，以重量百分比表示
B	batch12_a4	35	ENV-111	汽車製造業表面塗裝作業空氣污染物排放標準	第4條	3	本標準濃度計算之基準及單位為何？	以凱氏溫度二七三度及一大氣壓下未經稀釋之乾燥排氣體積為計算基準，單位為 mg／Nm3
B	batch12_a4	39	ENV-111	汽車製造業表面塗裝作業空氣污染物排放標準	第7條	3	乾燥室廢氣之揮發性有機物應符合何項排放標準？	總破壞去除效率九〇％及排放管道排放標準未經含氧量校正六〇mg/Nm3
B	batch12_c3	18	ENV-126	移動污染源空氣污染物排放標準	第3條	2	汽油及替代清潔燃料引擎汽車排氣管排放標準，管制哪些污染物？以何種方式測定？	管制CO、HC、NOx、粒狀污染物及粒狀污染物數量，分行車型態測定與惰轉狀態測定二種方式
B	batch12_e2	21	ENV-130	陸上運輸系統噪音管制標準	第5條	72	高速公路交通噪音管制標準與快速道路標準之差異何在？	高速公路第三類、第四類管制區夜間為 73 分貝，快速道路同區同時段為 72 分貝，其餘各欄數值兩者相同
A	batch12_f4	37	ENV-172	事業廢棄物處理設施餘裕處理容量許可管理辦法	第14條	70	提供餘裕處理容量之事業，其營運紀錄之作成、申報及保存年限規定為何？	應將每日廢棄物產出收受貯存清除處理再利用情形逐項作成營運紀錄隨處理設施存放；除公告應網路傳輸者外應於每年一四七十月十五日
B	batch12_g1	32	ENV-173	事業廢棄物輸入輸出管理辦法	第25條	1	本辦法所定之相關文書格式及審查作業事項，由何機關訂定？	由中央主管機關定之，俾統一全國申請書表格式與審查作業之一致性標準
B	batch12_g2	5	ENV-174	依促進民間參與公共建設法設置之廢棄物清除處理設施管理辦法	第6條	1	民間機構因投資契約變更致同意文件記載事項變更時，主辦機關應於何時辦理同意文件之變	應於投資契約變更後十五日內辦理同意文件之變更，以維持同意文件與投資契約內容之一致
B	batch12_g2	16	ENV-174	依促進民間參與公共建設法設置之廢棄物清除處理設施管理辦法	第16條	1	本辦法所定之相關文書格式，由何機關訂定？	由中央主管機關定之，俾全國主辦機關核發同意文件及申報作業有一致之格式
