level	file	index	law_id	law	article	missing_numbers	question	correct_option
B	batch10_b1	11	ENV-05	噪音管制法	第10條	2	應申請噪音許可證之營建工程或公私場所種類、規模及易發生噪音設施種類由何機關定之？	二者均由中央主管機關定之，設置或操作並應依許可證內容為之，違反者依法處罰
B	batch10_b1	38	ENV-05	噪音管制法	第33條	1	軍事機關及其所屬單位之場所、工程、設施及機動車輛、航空器等裝備之噪音管制辦法，由	由中央主管機關會同國防部定之，不逕行適用一般公私場所之許可及處罰程序
B	batch10_b2	23	ENV-13	環境影響評估法	第17條	300000;1500000	開發單位對於環境影響說明書、評估書所載內容及審查結論，負有何種義務？違反時之罰則	應依所載內容及審查結論切實執行；違反者處新臺幣三十萬元以上一百五十萬元以下罰鍰並限期改善
B	batch10_b2	35	ENV-13	環境影響評估法	第25條	1	開發行為涉及軍事秘密及緊急性國防工程者，其環境影響評估之有關作業由何機關訂定？	由中央主管機關會同國防部另定之，不逕行適用一般開發行為之評估程序
B	batch10_b5	20	ENV-25	公害糾紛處理法	第32條	1	公害糾紛處理法第三十二條現已刪除，於現行調處程序中，當事人對於經法院核定之調處如	該條已刪除而不再適用；當事人得向原核定法院提起宣告調處無效或撤銷調處之訴，經核定之調處則與民事確定判決有同一之效力
B	batch10_b5	27	ENV-25	公害糾紛處理法	第37條	20	裁決書作成後應於幾日內以何種方式送達當事人？其後當事人有何期間上之考量？	應於作成後十日內以正本送達於當事人；當事人於裁決書正本送達後二十日內未提起民事訴訟者，視為依裁決書達成合意
B	batch10_c2	37	ENV-07	水污染防治法	第66條之3	2	各級主管機關依第十一條第六項設置之特種基金，其來源除水污染防治費外尚應包括什麼？	應包括依第六十六條之二追繳之所得利益及依本法裁處之部分罰鍰；該部分應優先支用於該違反本法義務者所污染水體之整治
B	batch10_c3	27	ENV-08	放流水標準	第7條	2	事業自水體取水作為冷卻或循環用途之未接觸冷卻水，在何條件下不適用本標準？哪些項目	如排放於原取水區位之地面水體者不適用本標準；但水溫及氫離子濃度指數二項目之限值仍應適用
B	batch10_d4	12	ENV-09	水污染防治措施及檢測申報管理辦法	第96條	2	工業區專用污水下水道系統應如何收集區域內之廢水及雨水？	應以專用溝渠或管線收集區域內廢水，並以專用雨水溝渠或管線收集雨水及第八條以外之逕流廢水，兩者不得混雜收集
B	batch10_e2	27	ENV-10	廢棄物清理法	第61條	1	關於違反本法之處罰體系，本法第六十一條之現行狀態及該領域現行規範依據為何？	該條業經刪除而無現行內容；違反本法之刑事處罰、行政罰鍰、情節重大認定及裁罰準則等事項，現依第四十五條至第六十條及第六十三
B	batch10_e2	31	ENV-10	廢棄物清理法	第64條	1	關於本法罰鍰之執行與救濟，本法第六十四條之現行狀態及該領域現行規範依據為何？	該條業經刪除而無現行內容；罰鍰及清除處理費未繳之強制執行與裁罰準則等事項，現依第六十三條之一、第六十五條及第六十六條規定
B	batch10_f1	38	ENV-14	海洋污染防治法	第24條	3	中央主管機關就棄置於海洋之物質如何分類？各類物質之管制方式為何？	依對海洋環境之影響公告為甲、乙、丙三類；甲類不得棄置於海洋，乙類之棄置時間數量及作業方式應取得許可，丙類於許可之期間及總
B	batch10_f1	39	ENV-14	海洋污染防治法	第24條	1;3;7;1000000;5000000;30000000	違反規定將甲類物質棄置於海洋，或違反規定從事有害物質之海上焚化者，其刑責為何？	處三年以下有期徒刑，得併科新臺幣一百萬元以上五百萬元以下罰金；因而致嚴重污染海洋者，處七年以下有期徒刑，得併科三千萬元以
B	batch10_f1	51	ENV-14	海洋污染防治法	第32條	150;400;300000;1000000;3000000;30000000	違反第三十一條第二項或第三十二條規定者，其罰鍰額度依何標準區分？	依船舶規模區分：總噸位四百以上之一般船舶及一百五十以上之油輪或化學品船處一百萬元以上三千萬元以下；未達該規模者處三十萬元
B	batch10_f2	6	ENV-14	海洋污染防治法	第38條	600000;30000000	外國籍船舶所提供之擔保金額不足以支付應變費用及損害賠償時，應如何處理？違者如何處	船舶所有人應於主管機關通知之期限內補足擔保；未於期限內補足者，處新臺幣六十萬元以上三千萬元以下罰鍰，並得限期令其補足，屆
B	batch10_f4	14	ENV-16	海洋保育法	第10條	50000;500000	違反規定進入海洋庇護區核心區者應如何處罰？誤入者之處理為何？	處行為人、海陸域交通工具駕駛人或船長新臺幣五萬元以上五十萬元以下罰鍰；誤入核心區經勸導駛離者不罰，但其為最近二年內經勸導
B	batch10_f4	29	ENV-16	海洋保育法	第20條	50000;150000	主管機關以外之機關（構）、自然人、法人或團體自行辦理復育措施前，應踐行何種程序？	應依海洋生物復育措施辦理原則提出復育計畫，報經主管機關同意後始得為之；未經同意自行辦理者，處新臺幣五萬元以上十五萬元以下
B	batch10_g1	36	ENV-17	野生動物保育法	第26條	200000;1000000	為文化、衛生、生態保護或政策需要而禁止野生動物或其產製品輸出入時，應依何程序辦理	中央主管機關得洽請貿易主管機關依貿易法之規定公告禁止輸入或輸出；違反者處新臺幣二十萬元以上一百萬元以下罰鍰
B	batch10_g2	12	ENV-17	野生動物保育法	第39條	10000;50000	保育類野生動物之屍體具有學術研究或展示價值者，哪些機構得如何取得？拒絕出售有何後	學術研究機構、公立或政府立案之私立動物園、博物館等得優先向所有人或占有人價購製成標本；拒絕出售者依第51條處新臺幣一萬元
B	batch10_h3	34	ENV-20	毒性及關注化學物質管理法	第30條	3	化學物質資料登錄之內容包括哪些項目？依製造或輸入量及物質種類分為哪幾種登錄？	登錄內容包括製造或輸入情形、物理、化學、毒理、暴露、危害評估或其他經中央主管機關指定應登錄之資料項目；依每年製造或輸入量
B	batch10_i1	31	ENV-22	氣候變遷因應法	第21條	100000;1000000	事業違反依第21條第2項所定辦法中有關盤查、登錄頻率、紀錄、期限或管理之規定，經	處新臺幣十萬元以上一百萬元以下罰鍰，並通知限期補正或改善；屆期仍未完成者，按次處罰
B	batch10_i2	12	ENV-22	氣候變遷因應法	第38條	100000;1000000	違反第38條第1項公告禁止之規定者，依本法應如何處罰？	處新臺幣十萬元以上一百萬元以下罰鍰，並通知限期補正或申報；屆期仍未補正或申報者，按次處罰
